v_allele_new,v_allele_translate
TCRBV01-01*01,TRBV1*01
TCRBV02-01*01,TRBV2*01
TCRBV03-01*01,TRBV3-1*01
TCRBV03-02*01,TRBV3-2*01
TCRBV03-02*02,TRBV3-2*02
TCRBV04-01*01,TRBV4-1*01
TCRBV04-02*01,TRBV4-2*01
TCRBV04-03*01,TRBV4-3*01
TCRBV05-01*01,TRBV5-1*01
TCRBV05-02*01,not_found
TCRBV05-03*01,TRBV5-3*01
TCRBV05-04*01,TRBV5-4*01
TCRBV05-05*01,TRBV5-5*01
TCRBV05-06*01,TRBV5-6*01
TCRBV05-07*01,TRBV5-7*01
TCRBV05-08*01,TRBV5-8*01
TCRBV06-01*01,TRBV6-1*01
TCRBV06-04*01,TRBV6-4*01
TCRBV06-05*01,TRBV6-5*01
TCRBV06-06*01,TRBV6-6*01
TCRBV06-07*01,TRBV6-7*01
TCRBV06-08*01,TRBV6-8*01
TCRBV06-09*01,TRBV6-9*01
TCRBV07-01*01,TRBV7-1*01
TCRBV07-02*01,TRBV7-2*01
TCRBV07-03*01,TRBV7-3*01
TCRBV07-03*02,TRBV7-3*02
TCRBV07-03*03,TRBV7-3*03
TCRBV07-04*01,TRBV7-4*01
TCRBV07-05*01,not_found
TCRBV07-05*02,not_found
TCRBV07-06*01,TRBV7-6*01
TCRBV07-07*01,TRBV7-7*01
TCRBV07-08*01,TRBV7-8*01
TCRBV07-08*02,TRBV7-8*02
TCRBV07-09*01,TRBV7-9*01
TCRBV08-02*01,not_found
TCRBV09-01*01,TRBV9*01
TCRBV10-01*01,TRBV10-1*01
TCRBV10-02*01,TRBV10-2*01
TCRBV10-03*01,TRBV10-3*01
TCRBV11-01*01,TRBV11-1*01
TCRBV11-02*02,TRBV11-2*02
TCRBV11-03*01,TRBV11-3*01
TCRBV12-01*01,TRBV12-1*01
TCRBV12-02*01,TRBV12-2*01
TCRBV12-05*01,TRBV12-5*01
TCRBV13-01*01,TRBV13*01
TCRBV14-01*01,TRBV14*01
TCRBV15-01*01,TRBV15*01
TCRBV16-01*01,TRBV16*01
TCRBV17-01*01,TRBV17*01
TCRBV18-01*01,TRBV18*01
TCRBV19-01*01,TRBV19*01
TCRBV20-01*01,TRBV20-1*01
TCRBV21-01*01,TRBV21-1*01
TCRBV23-01*01,TRBV23-1*01
TCRBV25-01*01,TRBV25-1*01
TCRBV26-01*01,TRBV26*01
TCRBV27-01*01,TRBV27*01
TCRBV28-01*01,TRBV28*01
TCRBV29-01*01,TRBV29-1*01
TCRBV30-01*01,TRBV30*01
TCRBV30-01*02,TRBV30*02
TCRBVA-or09_02*01,not_found
