hla_chowell_146,hla_convert
A0101,HLA-A01:01
A0102,HLA-A01:01
A0103,HLA-A01:01
A0201,HLA-A02:01
A0202,HLA-A02:02
A0203,HLA-A02:03
A0205,HLA-A02:05
A0206,HLA-A02:06
A0207,HLA-A02:07
A0217,HLA-A02:17
A0301,HLA-A03:01
A0302,HLA-A03:02
A0305,HLA-A03:05
A1101,HLA-A11:01
A1102,HLA-A11:01
A1104,HLA-A11:01
A2301,HLA-A23:01
A2402,HLA-A24:02
A2403,HLA-A24:02
A2407,HLA-A24:02
A2421,HLA-A24:02
A2426,HLA-A24:02
A2501,HLA-A25:01
A2601,HLA-A26:01
A2602,HLA-A26:02
A2608,HLA-A26:08
A2901,HLA-A29:01
A2902,HLA-A29:02
A3001,HLA-A30:01
A3002,HLA-A30:02
A3004,HLA-A30:04
A3010,HLA-A30:10
A3101,HLA-A31:01
A3201,HLA-A32:01
A3301,HLA-A33:01
A3303,HLA-A33:03
A3401,HLA-A34:01
A3402,HLA-A34:02
A6601,HLA-A66:01
A6602,HLA-A66:02
A6801,HLA-A68:01
A6802,HLA-A68:02
A6810,HLA-A68:10
B0702,HLA-B07:02
B0704,HLA-B07:01
B0705,HLA-B07:01
B0801,HLA-B08:01
B1301,HLA-B13:01
B1302,HLA-B13:02
B1401,HLA-B14:01
B1402,HLA-B14:01
B1501,HLA-B15:01
B1502,HLA-B15:01
B1503,HLA-B15:01
B1505,HLA-B15:01
B1507,HLA-B15:01
B1508,HLA-B15:01
B1509,HLA-B15:01
B1510,HLA-B15:01
B1512,HLA-B15:01
B1516,HLA-B15:01
B1517,HLA-B15:01
B1518,HLA-B15:01
B1525,HLA-B15:01
B1527,HLA-B15:01
B1801,HLA-B18:01
B1803,HLA-B18:03
B2702,HLA-B27:01
B2703,HLA-B27:01
B2704,HLA-B27:01
B2705,HLA-B27:05
B3501,HLA-B35:01
B3502,HLA-B35:02
B3503,HLA-B35:01
B3505,HLA-B35:01
B3508,HLA-B35:01
B3701,HLA-B37:01
B3801,HLA-B38:01
B3802,HLA-B38:02
B3901,HLA-B39:01
B3902,HLA-B39:02
B3906,HLA-B39:06
B3910,HLA-B39:10
B3924,HLA-B39:24
B4001,HLA-B40:01
B4002,HLA-B40:02
B4003,HLA-B40:03
B4004,HLA-B40:04
B4006,HLA-B40:06
B4101,HLA-B41:01
B4102,HLA-B41:02
B4402,HLA-B44:05
B4403,HLA-B44:05
B4405,HLA-B44:05
B4501,HLA-B45:01
B4801,HLA-B48:01
B4901,HLA-B49:01
B5001,HLA-B50:01
B5101,HLA-B51:01
B5102,HLA-B51:02
B5107,HLA-B51:07
B5108,HLA-B51:08
B5201,HLA-B52:01
B5301,HLA-B53:01
B5501,HLA-B55:01
B5502,HLA-B55:02
B5601,HLA-B56:01
B5604,HLA-B56:04
B5701,HLA-B57:01
B5702,HLA-B57:01
B5703,HLA-B57:03
B5801,HLA-B58:01
B5802,HLA-B58:02
C0102,HLA-C01:02
C0103,HLA-C01:03
C0202,HLA-C02:02
C0210,HLA-C02:10
C0302,HLA-C03:02
C0303,HLA-C03:03
C0304,HLA-C03:04
C0305,HLA-C03:05
C0401,HLA-C04:01
C0403,HLA-C04:03
C0404,HLA-C04:04
C0501,HLA-C05:01
C0602,HLA-C06:02
C0701,HLA-C07:02
C0702,HLA-C07:02
C0704,HLA-C07:02
C0706,HLA-C07:02
C0718,HLA-C07:02
C0801,HLA-C08:01
C0802,HLA-C08:02
C0803,HLA-C08:03
C0804,HLA-C08:04
C1202,HLA-C12:02
C1203,HLA-C12:03
C1402,HLA-C14:02
C1403,HLA-C14:03
C1502,HLA-C15:02
C1504,HLA-C15:04
C1505,HLA-C15:05
C1601,HLA-C16:01
C1602,HLA-C16:01
C1604,HLA-C16:01
C1701,HLA-C17:01
